,id,prolificID,jspsychID,time_elapse,cause_agent,cause_patient,cause_agent_rt,cause_patient_rt,anim_check,tower_check,agent_check,sub_feedback1,sub_feedback2,subject_id,date,completion,compelete_time,exp_cond,num_moves_cause_agent,agent,num_moves_cause_patient,patient,animacy,norm_violation
91,98,60f1212e8caf70e56a089c89,mq50uhqv1oxe1mo,41498.0,[25],[71],[17447],[20000.5],1,1,0,Which ball collided and the force in which it did.,"All worked well, not clear what the purpose is though",105,2021-11-29 11:13:53.706318,1,,"['inanimate', 'rational']",1,25,1,71,inanimate,rational
92,99,5980a6561d20fd0001e6f53f,xundh81j2aggxku,51427.0,"[50, 0]",[100],"[10258, 15090]",[20802],1,1,0,"I saw the impact the pink ball made with the tower and, even though the green ball knocked against the pink one and made it speed up a little, I decided that the tower would have been toppled by the pink ball even if that had not happened.",,106,2021-11-29 11:13:55.461842,1,,"['inanimate', 'rational']",2,0,1,100,inanimate,rational
93,100,592c46c1a03e4600010af25f,wsjt62tmgc7j02h,70334.0,"[41, 57, 66]","[69, 48, 52, 53]","[17920.299999952316, 27713, 43845.60000002384]","[20015.200000047684, 30038.700000047684, 41384.60000002384, 42685.5]",1,1,0,Mainly the speed of the balls,No issues,108,2021-11-29 11:14:57.973831,1,,"['inanimate', 'rational']",3,66,4,53,inanimate,rational
94,101,5dcc2835e50faf8c303e7484,n4xjv28n9xjb0d1,160003.0,[92],[8],[80348.00000000001],[84331.00000000003],1,1,0,The pink ball was slowing down and would have not brought the tower down as it would have probably stopped short of the tower. The green ball was travelling at speed and hit the pink ball from behind causing the oink ball to speed up and collide with the tower causing it to collapse. The green ball passed through underneath the tower as it flew up into the air after the pink ball collided with it.,Nothing strange or confusing about the tsk. You had to observe closely as to what happens between the two balls and the tower.,107,2021-11-29 11:13:59.483774,1,,"['inanimate', 'rational']",1,92,1,8,inanimate,rational
95,102,5ee68f115b2240401d54114b,p24m2gtx7z7ukd5,65612.0,[32],[94],[39515.5],[41425.60000002384],1,1,0,I looked at if the pink would have caused it to fall without the green hitting the pink. i decided that it would have fallen regardless of the green.,no,109,2021-11-29 11:18:51.889358,1,,"['inanimate', 'rational']",1,32,1,94,inanimate,rational
96,104,6015966a246e51095f2235e7,vsu9fqslulq7zwd,32969.0,[100],[6],[15184.300000011921],[20440.599999964237],1,1,0,,,110,2021-11-29 11:20:14.062505,1,,"['inanimate', 'rational']",1,100,1,6,inanimate,rational
97,105,6015966a246e51095f2235e7,vsu9fqslulq7zwd,29942.0,[98],[3],[14080.5],[16040.599999964237],1,1,0,i had to google what inanimate object is,,110,2021-11-29 11:20:14.062505,1,,"['inanimate', 'rational']",1,98,1,3,inanimate,rational
98,106,612d365212e7856406fdbc07,1zskou5hwe0ngsz,1209170.0,[82],[22],[42226.39999999851],[1177342],1,1,0,The speed of travel of both balls and the final aspect of the collision: Green hit Pink and that stared a chain of events resulting in the tower being collided into.,"Really interesting ---with the first video being shown, then the second, there was the potential to mix both events, therefore potential to cloud perception. Also waited for reference to the first video. Overall an interesting study.",63,2021-11-29 11:04:42.369232,1,,"['inanimate', 'rational']",1,82,1,22,inanimate,rational
99,107,61172f5a46ad53742ee8e316,wzt782uq50frx7d,30356.0,[0],[100],[14294],[17437.5],1,1,0,"I just watched the ball. I didn't matter that the pink ball hit the green ball before it hit the tower, it only mattered that the green ball hit the tower before the pink one did.",,112,2021-11-29 11:54:46.014559,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
100,108,60fdf2f6556ee1578c556d12,8jwzt98fzeoxzco,65280.0,"[87, 100, 85]",[80],"[29510.899999976158, 32255.100000023842, 36358.89999997616]",[40335.10000002384],1,1,0,"considered both balls, and how each impacted the fall",None,111,2021-11-29 11:54:40.546580,1,,"['inanimate', 'moral']",3,85,1,80,inanimate,moral
101,109,5e5b96a514a6a43730f9af66,44oal2xpe9n0wt3,56714.0,"[0, 26]","[99, 80]","[19560, 28500]","[21167, 29596]",1,1,0,Which ball was the ball to actually make contact with the tower,No,115,2021-11-29 11:56:07.155367,1,,"['inanimate', 'moral']",2,26,2,80,inanimate,moral
102,110,60155bfca5f93a600802aa94,synpy4b2cy6cm2s,41832.0,"[58, 78]",[100],"[20411.5, 23643.100000000093]",[22058.799999999814],1,1,0,"I considered whether the green ball could've caused the tower to fall without the pink ball, but decided both were at fault somewhat",,118,2021-11-29 11:56:57.977327,1,,"['inanimate', 'moral']",2,78,1,100,inanimate,moral
103,111,5fa11b002616091abfbb37ab,yhmx1pmn3h94w0a,69718.0,[91],[58],[30764.100000023842],[32681.5],1,1,0,The speed at which both balls were travelling,,117,2021-11-29 11:56:21.285023,1,,"['inanimate', 'moral']",1,91,1,58,inanimate,moral
104,112,59ee44b13e4b5a00016aa99b,1ec8d38tsngrayd,245882.0,[29],[92],[35159.200000000186],[37803.09999999963],1,1,0,i watched how the balls started to roll and collide,none,114,2021-11-29 11:55:35.718368,1,,"['inanimate', 'moral']",1,29,1,92,inanimate,moral
105,113,615e5c6d8ff89265aebb0fca,784akws1ub8zfbu,51316.0,"[8, 0]",[100],"[22153.399999976158, 30548.899999976158]",[29268.199999928474],1,1,0,cause and effect,,122,2021-11-29 11:59:09.191494,1,,"['inanimate', 'moral']",2,0,1,100,inanimate,moral
106,114,5d6d94cb05e6930001a1464d,uzk6g0wjwn1dymb,63239.0,[86],[31],[22931.399999976158],[28299.5],1,1,0,"common sense, saying what I saw",,120,2021-11-29 11:59:01.542484,1,,"['inanimate', 'moral']",1,86,1,31,inanimate,moral
107,115,5f626bba8762fd2cd31d2b6a,ozq6l0wvaahoq9j,45911.0,"[54, 75, 75]",[76],"[18091.699999999255, 24609.299999998882, 27459.199999999255]",[25778.5],1,1,0,the direction both balls were travelling,,124,2021-11-29 11:59:41.469155,1,,"['inanimate', 'moral']",3,75,1,76,inanimate,moral
108,116,60b62b9daab749081c5b88f0,b364fabsymyrjxt,145688.0,[100],[81],[32575.79999999993],[39552.69999999995],1,1,0,I observed carefully,,119,2021-11-29 11:58:15.748082,1,,"['inanimate', 'moral']",1,100,1,81,inanimate,moral
109,117,60358d6b8447dceb12366db6,un5exdxg40x1nzf,50622.0,"[1, 38]",[57],"[18170.200000047684, 26519.800000071526]",[28557.900000095367],1,1,0,was the pink pushing the green forward and whether green was intending to collide with the tower,n/a,126,2021-11-29 12:00:20.039152,1,,"['inanimate', 'moral']",2,38,1,57,inanimate,moral
110,118,5995aee73ae1c8000110650d,1wq05bq61t0ha98,127045.0,[20],[76],[60721.299999999814],[64163],1,1,0,The green ball was going to hit the tower regardless of the pinks involvement,,121,2021-11-29 11:59:03.900061,1,,"['inanimate', 'moral']",1,20,1,76,inanimate,moral
111,119,5fff71a9510e340b2c67fb7d,pra8blxmxs8cuul,38408.0,[45],[72],[16690.39999999851],[20434.70000000298],1,1,0,looked at it logically ,,127,2021-11-29 12:00:40.724748,1,,"['inanimate', 'moral']",1,45,1,72,inanimate,moral
112,120,57d3d904f89a210001188e3a,4p9xz7eb5uehn0k,112702.0,[88],[30],[29350],[36996.300000071526],1,1,0,if the pink hadn't hit the green so hard the green may hav just stopped short of the tower so i judged it on the speed and force of the pink ball hitting the green,no all seemed ok to me,123,2021-11-29 11:59:28.761421,1,,"['inanimate', 'moral']",1,88,1,30,inanimate,moral
113,121,5c022844c776820001bd5549,2z1s0aps4syzsv2,49511.0,[68],[32],[20941],[25853.5],1,1,0,"Speed, original course",,131,2021-11-29 12:01:12.346141,1,,"['inanimate', 'moral']",1,68,1,32,inanimate,moral
114,122,60ed87a02314cd5d1721c163,cdwtc1ofuaeletb,133325.0,"[50, 59]","[50, 52, 58, 63, 73]","[41723.09999996424, 80922.19999998808]","[48890.09999996424, 50120.59999996424, 53933.09999996424, 73368.89999997616, 76767.79999995232]",1,1,0,which ball was first,task was simple,125,2021-11-29 11:59:58.773568,1,,"['inanimate', 'moral']",2,59,5,73,inanimate,moral
115,123,5f454a06e116741011da5fbf,ccowd8y7b0tsplj,87442.0,[0],[100],[33506.5],[37115.5],1,1,0,BY OBSERVING THE MOVEMENTS OF THE BALLS AND THE COLAPSING OF THE TOWER,NITHING WAS STRANGE ABOUT EVERYTHING,130,2021-11-29 12:00:57.768826,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
116,124,5ce575e4fc370e001a34715a,q95naqx137y1ga7,47233.0,[50],[100],[18183.599999904633],[22112.399999976158],1,1,0,"I considered which one hit the tower. The pink sped up the green one to hit it faster, but it may have been fast enough to knock it down on it's own.",,135,2021-11-29 12:02:07.166845,1,,"['inanimate', 'moral']",1,50,1,100,inanimate,moral
117,125,60f2ec03523f3fb746b23807,amu0j3pkaoh0z9j,66188.0,[95],"[28, 34, 38]",[26771],"[29821, 33514, 37533]",1,1,0,"pink crashed intro green, causing green to lose control",no it was all clear,134,2021-11-29 12:01:46.214271,1,,"['inanimate', 'moral']",1,95,3,38,inanimate,moral
118,126,5b017ef1293d310001023bd8,8ufz5aqjg240qte,80881.0,[0],[100],[30366],[32752],1,1,0,"Which ball hit the tower first, thus causing it to fall.",There were no problems.,133,2021-11-29 12:01:31.311706,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
119,127,5c4792a53fa2f8000186d844,uz3canhx6svr5j6,127435.0,"[20, 22]","[76, 82]","[19722, 43653.000000000015]","[29863, 41128]",1,1,0,I based It on what I saw - ultimately the green was going to hit the blue blocks first regardless of the pink one - hence why I choose green. ,,128,2021-11-29 12:00:46.909986,1,,"['inanimate', 'moral']",2,22,2,82,inanimate,moral
120,128,60e4b62f8801d4adbbe86a42,rxd2axnaox85wfc,41713.0,[0],[0],[18753],[21913.29999999702],1,1,0,,,137,2021-11-29 12:02:18.297250,1,,"['inanimate', 'moral']",1,0,1,0,inanimate,moral
121,129,55881a68fdf99b1c9154fe4a,83yuyqm7mkkgu83,486124.0,[27],[80],[74442.59999990463],[77352.5],1,1,0,that the green ball was going to hit the tower regardless,,113,2021-11-29 11:54:54.552260,1,,"['inanimate', 'moral']",1,27,1,80,inanimate,moral
122,130,60225d853dc676336d6cedc0,wtr0x554seayxqt,110286.0,"[61, 79]",[99],"[39339.59999996424, 47263]",[48972.39999997616],1,1,0,which ball hit the tower,,132,2021-11-29 12:01:23.356166,1,,"['inanimate', 'moral']",2,79,1,99,inanimate,moral
123,131,60fecfd7bdea61956af33381,kygoymuk0tfjdjg,52811.0,[0],[100],[18331],[29700],1,1,0,"I considered which ball was moving first, and if without the aid of the other ball, would they still knock over the tower. I considered their speed prior to the pink ball hitting them. As well, I considered the strength of the tower.",,140,2021-11-29 12:02:52.413456,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
124,132,5b49081c03732f000161ef3d,lgv1pzyd4gd4bfg,105430.0,[15],[80],[43376.19999998808],[46305.90000003576],1,1,0,which ball hit the tower first despite the pink ball hitting the green,none,138,2021-11-29 12:02:32.998144,1,,"['inanimate', 'moral']",1,15,1,80,inanimate,moral
125,133,5847e40d6cca010001fe2d64,gyxzdjunlvyydxp,96265.0,"[2, 22, 52]",[41],"[29513, 38752, 57414]",[60121],1,1,0,"green ball was decelerating fairly quickly, but the tower seemed quite fragile. pink cause green to change velocity",no problems,139,2021-11-29 12:02:43.788334,1,,"['inanimate', 'moral']",3,52,1,41,inanimate,moral
126,134,60b4ae00a553ce01ecec6699,88d611nvqe0pkb2,56741.0,"[35, 49]",[100],"[19651.699999999255, 26370.599999999627]",[21634.5],1,1,0,I made my judgment based on the speed each ball was going and how the pink ball impacted the speed of the green ball by hitting it. The pink ball significantly increased the impact of the green ball.,No problems,148,2021-11-29 12:03:47.808693,1,,"['inanimate', 'moral']",2,49,1,100,inanimate,moral
127,135,6148979da76208b3c48e9e08,dax16r2vyhqxche,70279.0,[100],[65],[20968.800000000745],[30353.5],1,1,0,Green would have hit the tower prior to pink but the pink ball was speeding around in both videos. ,,145,2021-11-29 12:03:39.941187,1,,"['inanimate', 'moral']",1,100,1,65,inanimate,moral
128,136,60130d34aa5637149b0650b8,pcyv37su3xuz43r,47969.0,"[96, 82, 93, 79]",[67],"[19115.5, 21489.900000095367, 29166.299999952316, 31160.299999952316]",[29892.299999952316],1,1,0,"very clear and good, I generally took into account the balls and what they do",no,150,2021-11-29 12:04:01.811269,1,,"['inanimate', 'moral']",4,79,1,67,inanimate,moral
129,137,5eba9c85d1130507bd1a6219,dgqsbw7k7yxyyk4,62672.0,[0],"[98, 100]",[25302.799999952316],"[28477.900000095367, 29141.799999952316]",1,1,0,I considered which ball was in the front so at the speed it was travelling it would have knocked the tower down even without ht ehelp of the pink ball,seemed a very simple task for the reward,149,2021-11-29 12:03:54.620178,1,,"['inanimate', 'moral']",1,0,2,100,inanimate,moral
130,138,6034e02ad89fefd29dac5684,8fr9yzzstzazrrf,90867.0,[19],"[76, 83]",[36943],"[40858, 42790]",1,1,0,what would be the result if i removed the pink balls influence.,I didn't understand the purpose of the study but answered honestly,142,2021-11-29 12:03:25.618595,1,,"['inanimate', 'moral']",1,19,2,83,inanimate,moral
131,139,60eacff7b678411f44e11a12,mywy20lb7eq558b,57796.0,[32],[67],[28567.100000023842],[30934.700000047684],1,1,0,,,153,2021-11-29 12:04:16.979108,1,,"['inanimate', 'moral']",1,32,1,67,inanimate,moral
132,140,6155f45482ab2fe2564c21de,nm5k5fdv4p2dl2n,37589.0,[11],[78],[18032.799999998882],[20413.699999999255],1,1,0,What I could see happening in the video,,157,2021-11-29 12:04:46.877191,1,,"['inanimate', 'moral']",1,11,1,78,inanimate,moral
133,141,6039069d9822982e730d4f35,z3pyhbk1lzc7t0j,85699.0,[100],[55],[28962.700000047684],[32534],1,1,0,"The force each ball came in with, the location of the balls throughout, the order the balls came out in, the blocks/tower placement ","No comment on my side, thank you for your time",146,2021-11-29 12:03:42.659844,1,,"['inanimate', 'moral']",1,100,1,55,inanimate,moral
134,142,60fe6a7c94138f8942479b3a,250p76mbknstaav,58156.0,"[60, 31, 27]","[90, 100]","[26282.699999809265, 32375.699999809265, 33377.799999952316]","[29805.799999952316, 30801.39999985695]",1,1,0,which coloured ball hit the tower first,n/a,155,2021-11-29 12:04:30.321107,1,,"['inanimate', 'moral']",3,27,2,100,inanimate,moral
135,143,5d6ad36076cca6001a66d89e,47kmge2b4nlyf37,77784.0,"[38, 76]",[43],"[30259.60000014305, 41475.60000014305]",[44739.40000009537],1,1,0,"green could have stopped before hitting the tower, being hit by pink gave green no choice but to hit the tower ",all worked ok and very clear,151,2021-11-29 12:04:08.300141,1,,"['inanimate', 'moral']",2,76,1,43,inanimate,moral
136,144,5e1b8b1f05e1513aef9dd093,gnyc3anb5enfsmc,57545.0,[85],[17],[21308.69999998808],[24056.600000023842],1,1,0,I just watched what the balls did and what drove the towers to fall. ,The pink ball appeared slightly purple on this experiment for me,156,2021-11-29 12:04:31.469471,1,,"['inanimate', 'moral']",1,85,1,17,inanimate,moral
137,145,60b16759d9cbcdbea9eb513c,09mhq864qwgvgj9,112481.0,[100],"[46, 31, 24, 66]",[28960.5],"[36545.19999998808, 39816.09999996424, 41141.799999952316, 45124.89999997616]",1,1,0,the movement of the balls,the study was simple to understand ,144,2021-11-29 12:03:32.028675,1,,"['inanimate', 'moral']",1,100,4,66,inanimate,moral
138,146,5f5a89361b86c0167f59ecd3,l6wsxzz4h0k8gbg,81740.0,"[26, 29]",[84],"[24093, 24589]",[54047],1,1,0,I looked at the facts I could interpret from the videos and didn’t consider any other factors ,An,152,2021-11-29 12:04:13.923254,1,,"['inanimate', 'moral']",2,29,1,84,inanimate,moral
139,147,5a08bcb6df3fa800015c3678,7qbay1a0v26n9v9,113877.0,"[64, 72]","[28, 40]","[34858, 40194]","[38533, 42600]",1,1,0,what happened ,no,147,2021-11-29 12:03:46.383928,1,,"['inanimate', 'moral']",2,72,2,40,inanimate,moral
140,148,5ff1dac8c9707d602d5044b0,06ypugf3u317hzv,51644.0,[8],[87],[19454.900000095367],[22533.700000047684],1,1,0,which ball hit the tower first,no,158,2021-11-29 12:04:51.008427,1,,"['inanimate', 'moral']",1,8,1,87,inanimate,moral
141,149,5f70e1b95db5f56eeac03b26,d1pkbm4y0e0zhy1,49777.0,"[44, 66, 86]","[59, 70]","[18067.19999998808, 21382.80000001192, 27384.80000001192]","[25903.599999964237, 28632.19999998808]",1,1,0,"Speed of the balls, and which colour ball hit the tower",N/A,159,2021-11-29 12:05:01.901817,1,,"['inanimate', 'moral']",3,86,2,70,inanimate,moral
142,150,60fec548df1323f2613a5a18,p7w59qqf8j46yrs,34587.0,[19],[81],[17846.600000023842],[19664.300000071526],1,1,0,color of the ball,,164,2021-11-29 12:05:20.287291,1,,"['inanimate', 'moral']",1,19,1,81,inanimate,moral
143,151,5fc7ae8a94812601dd406d5c,hjqqmnpuqvuzxg7,81959.0,"[14, 11]","[99, 100]","[38396.5, 43360]","[40094, 41083.59999999986]",1,1,0,"The green ball was already at the direction of the tower, so the tower was going to fall even if the pinkball did not hit the greenball.",No every thing went well.,154,2021-11-29 12:04:23.477396,1,,"['inanimate', 'moral']",2,11,2,100,inanimate,moral
144,152,61658d231d234ce838421780,rkwcdt4uy0lv7cu,42320.0,[26],[71],[18636.599999904633],[21743.699999809265],1,1,0,"The green hit the tower causing it to fall, but maybe the green was pushed by the pink so i didnt agree/disagree with either statement fully",n/a,161,2021-11-29 12:05:05.103278,1,,"['inanimate', 'moral']",1,26,1,71,inanimate,moral
145,153,5e4faf8fc0bead3ee2222c03,96hg638r2nvth97,55127.0,[2],[91],[34135.800000071526],[35850.200000047684],1,1,0,I watched carefully,The slider bar was awkaward but i made it move,160,2021-11-29 12:05:03.215767,1,,"['inanimate', 'moral']",1,2,1,91,inanimate,moral
146,154,5dcefdea710dfc05309c2f77,2oenu74uo6dlwqn,37457.0,[85],[85],[18236.199999999255],[20026.099999999627],1,1,0,"They were both heading towards the tower, pink just expidited the collapse",,170,2021-11-29 12:05:32.679165,1,,"['inanimate', 'moral']",1,85,1,85,inanimate,moral
147,155,5f32a496a026e809d7d55cbd,68tp56szx92rs8n,47473.0,[42],[100],[18667.800000000745],[21428.200000000186],1,1,0,"the ball that actually hit the tower was the one that caused it to fall, the green would have eventually hit it anyway, the pink one just made it happen faster","it was fine, made sense",166,2021-11-29 12:05:25.118497,1,,"['inanimate', 'moral']",1,42,1,100,inanimate,moral
148,156,5d5bf6c10802ee001a08c68f,x5q1ofzatca3eur,80756.0,"[78, 68]",[86],"[20058.700000047684, 27801.700000047684]",[30066.10000014305],1,1,0,the speed in which the green ball was travelling prior to being hit,It worked smoothly - once loaded,162,2021-11-29 12:05:15.228363,1,,"['inanimate', 'moral']",2,68,1,86,inanimate,moral
149,157,6116efa08554bc0d96bab06d,6buldnylmp8zs03,85364.0,[100],"[59, 75]",[28515.299999952316],"[32752.39999985695, 36691]",1,1,0,Slowing down/ speeding up of the balls on their own and the directions they moved in,No,165,2021-11-29 12:05:22.052865,1,,"['inanimate', 'moral']",1,100,2,75,inanimate,moral
150,158,5fa43bb9a1da9605a34dcc0d,3zdezz2wuetcn2p,51912.0,"[50, 28]",[78],"[16498.199999999255, 26393]",[27830.39999999851],1,1,0,"I thought that the green ball would have knocked the tower over anyway, the pink ball only increased its speed ",,174,2021-11-29 12:05:59.310970,1,,"['inanimate', 'moral']",2,28,1,78,inanimate,moral
151,159,61765ed413cf9b7cb9f9e9a5,wutddd88uv454jn,69084.0,[75],[90],[45205],[45669],1,1,0,I consider what I saw and whether the tower would have fell,,171,2021-11-29 12:05:38.592587,1,,"['inanimate', 'moral']",1,75,1,90,inanimate,moral
152,160,5e0f31a34fa02a656250044a,hkz68qxkpq2uhmb,58910.0,[55],[71],[19996],[21440],1,1,0,I considered which balls hit the tower first,No problems,173,2021-11-29 12:05:55.133552,1,,"['inanimate', 'moral']",1,55,1,71,inanimate,moral
153,161,60d052419e0ac9d896bb04e6,wfpx8l0d8lrsd4e,86564.0,[0],[100],[38217.89999985695],[41094.299999952316],1,1,0,Whether the green ball would have hit the tower anyway before pink hit it. ,No tech problems. Of course this was strange. The video was straight forward and don't know what the first video had to do with anything.  Expected this to be applied to a real world scenario afterwards and have you try to influence my decison.,169,2021-11-29 12:05:29.448688,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
154,162,60fddec84274b6b7f5b87c47,cokvh3lwaj5rtpx,70476.0,[70],[30],[32103.800000190735],[34829],1,1,0,"Speed of the green ball before it was hit by the pink ball, was it enough to knock down the tower alone.",Worked great!,175,2021-11-29 12:06:02.836126,1,,"['inanimate', 'moral']",1,70,1,30,inanimate,moral
155,163,6102bdc9ec7510bd9eacb59f,btajs2k6be2zuyh,43655.0,[80],[47],[22091.700000047684],[26291.80000001192],1,1,0,by what i could see,no,182,2021-11-29 12:06:34.416819,1,,"['inanimate', 'moral']",1,80,1,47,inanimate,moral
156,164,6111c4e43d99ab2b71227181,vuuzqxtnsqgpsye,63332.0,"[0, 83, 73]",[100],"[17256.700000047684, 32323.599999904633, 42103.40000009537]",[40175.59999990463],1,1,0,I just went with my head,everythig was great,176,2021-11-29 12:06:15.728632,1,,"['inanimate', 'moral']",3,73,1,100,inanimate,moral
157,165,605d5a6066ab82b353e53c15,z5nx9egoylrrrkn,56659.0,[23],[81],[35136],[37568],1,1,0,i just watched the video,no,180,2021-11-29 12:06:32.747324,1,,"['inanimate', 'moral']",1,23,1,81,inanimate,moral
158,166,60fd31e82baaaadd2bd6604b,5oalxm0squ6wk41,87233.0,[36],[81],[39523.59999999963],[62555.59999999963],1,1,0,that the green would have collided with the tower anyway,,172,2021-11-29 12:05:53.812432,1,,"['inanimate', 'moral']",1,36,1,81,inanimate,moral
159,167,5f8b066742a6381ddae03d75,6wxhsd0x3ke8u3c,82722.0,[0],[100],[29104.200000047684],[33258.10000002384],1,1,0,"If it wasn't for the pink ball, the green ball may not have collided with the tower.",No difficulties. Very interesting study.,178,2021-11-29 12:06:20.960196,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
160,168,612e4f6cebde4dd2d7c1afac,len9tndgqtyrkqv,133196.0,"[100, 49, 1]","[97, 100]","[85718, 87321, 90675.00000000001]","[58020.000000000015, 58366]",1,1,0,Whether or not without the pink ball colliding with the green ball would the tower still collapse,"No, I enjoyed it.",168,2021-11-29 12:05:26.782816,1,,"['inanimate', 'moral']",3,1,2,100,inanimate,moral
161,169,6169d947c10b18bb9541b6d9,4jvgjos970jekrk,76397.0,[33],[75],[31961],[34003],1,1,0,what hit first,n/a,179,2021-11-29 12:06:31.086398,1,,"['inanimate', 'moral']",1,33,1,75,inanimate,moral
162,170,58b74a11211f4500013aa629,c1k692r511q4n1z,85717.0,[41],[59],[33791.99999999999],[31530.999999999993],1,1,0,"Pink had an effect on green, but it was green that actually hit the tower. ",No. I thought it was about how one thing could influence another without being the direct cause of a following event.,181,2021-11-29 12:06:33.461595,1,,"['inanimate', 'moral']",1,41,1,59,inanimate,moral
163,171,602a68f190ccb203ce5a66cf,03hw8m3kxt2et0k,39359.0,[14],[86],[15306.5],[17668.60000000149],1,1,0,I was listening to my heart.,No technical diffuculties. I think balls are meant to symbolize people.,183,2021-11-29 12:07:11.639387,1,,"['inanimate', 'moral']",1,14,1,86,inanimate,moral
164,172,5f8376e9c2a1d34fac44b0b3,dtv916fvj6nat2t,55887.0,[0],"[60, 100]",[21354.5],"[18772.700000000186, 24478.599999999627]",1,1,0,Visual,,185,2021-11-29 12:07:27.143052,1,,"['inanimate', 'moral']",1,0,2,100,inanimate,moral
165,173,5ee92b925f0f482bb1e73668,0x59abda3npdw20,42905.0,[61],[72],[19784],[23246],1,1,0,"Green was more responsible because it actually knocked the tower over.  I gave pink some responsibility, because it caused green's momentum to increase shortly before hitting the tower.",nothing comes to mind.,187,2021-11-29 12:07:43.500695,1,,"['inanimate', 'moral']",1,61,1,72,inanimate,moral
166,174,5ea1a77e8366db071365429f,jddzoulbrrxoyrh,72626.0,"[50, 61]","[50, 61]","[39096.799999952316, 42950.09999990463]","[40348.199999928474, 44660]",1,1,0,the speed and direction of both balls,None,184,2021-11-29 12:07:13.267410,1,,"['inanimate', 'moral']",2,61,2,61,inanimate,moral
167,175,5ba1a06b0686690001f514ae,mxfhpykouf9rn6z,175470.0,[72],[72],[89442.30000001192],[96953.20000004768],1,1,0,both balls were involved,n/a,163,2021-11-29 12:05:18.203007,1,,"['inanimate', 'moral']",1,72,1,72,inanimate,moral
168,176,5f8394cdd4459c14c000697e,max2lm3zhkjlxm3,34637.0,[54],[67],[16760],[20224.30000000028],1,1,0,"Momentum of the pink was a factor, but the green was the one that hit the tower",,188,2021-11-29 12:07:56.037270,1,,"['inanimate', 'moral']",1,54,1,67,inanimate,moral
169,177,614de6fa0215b80b2d767768,lngoj15byovqpb8,44440.0,[70],[53],[21077],[24124],1,1,0,I watched the clip more than once,,189,2021-11-29 12:08:02.290376,1,,"['inanimate', 'moral']",1,70,1,53,inanimate,moral
170,178,5f32a8edb38900000896b87d,myxbxxcpykdgexc,66519.0,[33],[80],[30580],[32395.80000001192],1,1,0,"Which ball hit the tower first, speed of the balls",,186,2021-11-29 12:07:42.920260,1,,"['inanimate', 'moral']",1,33,1,80,inanimate,moral
171,179,610bd035f652bf4f1c072534,y9kk1gzas59u7qa,38558.0,[0],[100],[17859.300000190735],[21010.900000095367],1,1,0,I described what i saw,,190,2021-11-29 12:08:21.703826,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
172,180,611ff0a89e5a6e3738f3041a,3p8f4cbl5r0ac0y,34651.0,[38],[64],[17540.19999999553],[19749.89999999851],1,1,0,"Weight of the blocks in the tower, weights of the balls, speed required to knock the tower down",,191,2021-11-29 12:08:31.272454,1,,"['inanimate', 'moral']",1,38,1,64,inanimate,moral
173,181,5d6938ecf25a8e0001e44a11,wr7zkguetcpuuww,61700.0,[30],[74],[28843],[31104],1,1,0,direction of the two balls,all ok,177,2021-11-29 12:06:16.526994,1,,"['inanimate', 'moral']",1,30,1,74,inanimate,moral
174,182,5bc63a7e186a6500016a127d,0d700pt7phzejr8,50841.0,[28],"[63, 66]",[18324.39999985695],"[21093.099999904633, 27259.89999985695]",1,1,0,"Original cause, what was originally happening",No,193,2021-11-29 12:08:37.699757,1,,"['inanimate', 'moral']",1,28,2,66,inanimate,moral
175,183,5bdc5287ee217b00012467d3,3cw06e6farrh1jg,34743.0,[0],[100],[15528.79999999702],[17806.39999999851],1,1,0,Speed and colour of balls,"easy to understand, instructions say its going to take an hour.",195,2021-11-29 12:09:01.720236,1,,"['inanimate', 'moral']",1,0,1,100,inanimate,moral
176,184,574dc90512d86b000f833ab0,mbn9nu9n2kny1ak,53263.0,[28],[69],[25983.599999904633],[27285.5],1,1,0,While pink increased greens rate of speed I think green would have knocked down the tower even without pink hitting it.,Everything worked well.,196,2021-11-29 12:09:04.352277,1,,"['inanimate', 'moral']",1,28,1,69,inanimate,moral
177,185,55e2dcb5c70c7a00112a58b0,fmohkdwql6kbg83,57915.0,[18],[22],[31923.000000000007],[38261],1,1,0,Which ball collided with the blocks,None,194,2021-11-29 12:09:00.951565,1,,"['inanimate', 'moral']",1,18,1,22,inanimate,moral
178,186,6172699de105f1e69f47b3bd,59mf79p180sj99j,94108.0,[65],[100],[47787.10000002384],[49488.200000047684],1,1,0,I considered whether each ball would have hit the tower if the other was not present.,No tech issues. Task was straightforward. It reminded me of a traffic collision and assessing which driver (ball) was at fault,192,2021-11-29 12:08:36.256744,1,,"['inanimate', 'moral']",1,65,1,100,inanimate,moral
